alpha,CL,CD,CM
-10.0,-1.1278,0.01012,0.0026
-9.5,-1.0669,0.00963,0.0012
-9.0,-1.0053,0.00914,-0.0003
-8.5,-0.9426,0.00868,-0.0021
-8.0,-0.8838,0.00828,-0.0029
-7.5,-0.8268,0.0079,-0.0032
-7.0,-0.774,0.00755,-0.0025
-6.5,-0.7211,0.00723,-0.0018
-6.0,-0.6675,0.00695,-0.0012
-5.5,-0.6132,0.00667,-0.0008
-5.0,-0.5585,0.00642,-0.0005
-4.5,-0.5034,0.0062,-0.0003
-4.0,-0.4481,0.006,-0.0001
-3.5,-0.3926,0.0058,0.0001
-3.0,-0.3371,0.00561,0.0002
-2.5,-0.2813,0.00546,0.0002
-2.0,-0.2252,0.00532,0.0002
-1.5,-0.1691,0.00521,0.0002
-1.0,-0.1129,0.00514,0.0001
-0.5,-0.0563,0.0051,0.0001
0.0,0.0,0.00508,-0.0
0.5,0.0564,0.0051,-0.0001
1.0,0.1129,0.00513,-0.0001
1.5,0.1691,0.00521,-0.0002
2.0,0.2252,0.00532,-0.0002
2.5,0.2813,0.00546,-0.0002
3.0,0.3371,0.00561,-0.0002
3.5,0.3927,0.00579,-0.0001
4.5,0.5034,0.00619,0.0003
5.0,0.5585,0.00642,0.0005
5.5,0.6131,0.00667,0.0008
6.0,0.6674,0.00695,0.0012
6.5,0.721,0.00723,0.0018
7.0,0.774,0.00755,0.0025
7.5,0.8268,0.0079,0.0032
8.0,0.8839,0.00828,0.0028
8.5,0.9427,0.00868,0.0021
9.0,1.0054,0.00914,0.0003
9.5,1.067,0.00963,-0.0012
10.0,1.1279,0.01012,-0.0026
10.5,1.1768,0.01062,-0.0015
11.0,1.2214,0.01116,0.0006
11.5,1.2689,0.01165,0.002
12.0,1.3167,0.01225,0.0032
12.5,1.3635,0.01298,0.0044
13.0,1.4115,0.01358,0.0054
13.5,1.458,0.01426,0.0066
14.0,1.5026,0.01506,0.008
14.5,1.5442,0.01602,0.0098
15.0,1.5846,0.01696,0.0117
15.5,1.6238,0.01786,0.0137
16.0,1.6563,0.01885,0.0167
16.5,1.6825,0.02005,0.0204
17.0,1.7056,0.02155,0.0239
17.5,1.7244,0.02351,0.0271
18.0,1.7379,0.02611,0.0298
18.5,1.7455,0.0296,0.0316
19.0,1.7518,0.0337,0.0322
19.5,1.7548,0.0386,0.0318
20.0,1.7488,0.045,0.0301
